bridge spider	# a large  often found on bridges and near water ().
bisexualize	# en To make bisexual.
bendy straw	# A drinking straw with a corrugated, bendable section
bacteriospermia	# en The presence of bacterium|bacteria in the semen
bebroyde	# en To embroider about.
bighearted	# noble|Noble, kind and generous
basal cell	# en A cell of the basal layer (''stratum basale'') of the epidermis
batch queue	# en A system software data structure maintained by job scheduler software.
balance bike	# en balance bicycle
buparlisib	# A particular anticancer drug.
bell buoy	# A buoy on which is mounted a bell with four clappers, hung inside an iron cage, which is rung by the motion of the waves
balanoid	# en Resembling an acorn; applied to the acorn barnacles
blacksmithing	# the business of a blacksmith
bird's-eye view	# en The view from directly or high above.#: ''Looking down from the seventh floor balcony gave them a '''bird's-eye view''' of the street below.''|lang=en|year=1960|author=|title=|section=chapter VIII|passage=“What makes you think there is a mouse in this room?” “The evidence points that way.” ...] “And why were you standing on a chair?” “Sort of just trying to get a '''bird's-eye view''', as it were.” “Do you often go looking for mice in other people's rooms?”}}lb|en|by extension}}
bodyscape	# en An artistic style where closeup photographs of the human form convey the impression of landscape.# en A notional landscape formed by a body.
bionanosensor	# A biological or biochemical nanosensor
byhove	# To suit; to befit.<!--#*: True, it ill '''behoves''' national newspaper columnists and MPs, let alone Prime Ministers, to start pontificating about how men – and hitherto a too tiny handful of women – shouldn't be paid £30,000 a year to risk their lives by going into burning buildings when everybody else is leaving them. http://comment.independent.co.uk/columnists_m_z/donald_macintyre/article132811.ece]-->
breech	# en To dress in breeches.  To dress a boy in breeches or trousers for the first time.# en To beat or spank on the buttocks.# en To fit or furnish with a breech.#: ''to '''breech''' a gun''# en To fasten with breeching.# en To cover as if with breeches.
bank balance	# The amount by which a current account is in credit or deficit.
barrel piano	# en An early pianola or player piano.
buckytube	# a carbon nanotubeCategory:English eponyms
bog spavin	# A lesion of the hock joint of the horse, consisting in distension of the capsule enclosing the joint, usually arising suddenly from a sprain in action.
biospecimen	# A specimen of biological material, such as urine, blood, tissue, cells, DNA, RNA, and protein, to be stored in a biorepository for future research
bootneck	# en A member of the .
bendly	# en bendwise|Bendwise; by bends.
bioactivate	# en To activate by means of bioactivation
bag for life	# en A reusable shopping bag, issued by supermarkets for a nominal price, which can be  replaced free of charge when it wears out.# en A reusable shopping bag sold by shops with the mandatory cost being passed on to the government for an environmental levy.
builder	# A person who builds or constructs things.# en Master artisan, who receives his instructions from the architect, and employs workers.# en A bodybuilder.
backstitch	# To sew with a backstitch.
barbershop quartet	# en A group of four musicians who sing :w:barbershop music|barbershop music. Usually contains high and lead tenors, baritone and bass.
bypath	# An unfrequented path; an indirect route; a byway.|lang=en|year=1927|year_published='''2008'''|edition=HTML|editor=|author=Edgar Rice Burrows|title=The Outlaw of Torn|chapter=|url=http://www.gutenberg.org/files/369/369-h/369-h.htm|genre=|publisher=The Gutenberg Project|isbn=|page=|passage=… until he knew every '''bypath''' within a radius of fifty miles of Torn.}}
bwana	# en Big boss, important person.
bimonopole	# en A composite of two monopoles
boylessness	# The state or condition of being boyless.
bromoketone	# en Any brominated derivative of a ketone
bechide	# en to chide or scold completely; reprimand thoroughly
butment cheek	# en The part of a mortised timber surrounding the mortise, and against which the shoulders of the tenon bear.#: 
bailiffship	# The role or status of a bailiff.
bonch	# en The perineum.James Ferrenberg|title=Re: Spong on a Positive Tack|url=https://groups.google.com/forum/#!original/alt.religion.christian.episcopal/B7XK7IFmdqM/K24Bjkrdbs4J|newsgroup=alt.religion.christian.episcopal|passage=Well, no thanks on the Jesus Seminar stuff, I have looked into it and they make my '''bonch''' sweat.}}
blackspot	# A dangerous place or area.# en Any of several diseases that produce black spots on leaves or the skin.
Buddha bowl	# A selection of vegetarian foods served in a bowl or high-rimmed plate for a single diner.
bloubok	# bluebuck
boozeroo	# en A session of alcohol drinking.
Bolivarianism	# Any of various sets of political doctrines in parts of South America, especially Venezuela.
battle bus	# en A bus that is used as a mobile office and publicity centre by a politician or party during the run-up to an election|lang=en|last=Aitken|first=Ian|title=PM smites the Tories with his crusading zeal|url=https://search.proquest.com/docview/186098441?accountid=37105|accessdate=2017-05-13|newspaper=The Guardian|location=London|publisher=Guardian News & Media Limited|date=Apr 10, 1979|page=1|passage=Photo shows Steel sitting on a coach emblazoned with "DAVID STEEL'S LIBERAL '''BATTLE BUS'''". Photo caption reads:] STEEL'S ON WHEELS: Setting off from the National Liberal Club in his '''battle bus'''.}}
biocomposite	# en A composite material comprising a resin matrix and a bolster to reinforce natural fibers, wherein either the resin or the bolster is of biological origin.
bust a nut	# en To ejaculate.# en to work very hard, put in a lot of effort
blood blister	# A blister filled with blood, usually caused by a sharp pinch to the skin.
breathe down someone's neck	# en To follow or supervise someone too closely, causing discomfort for that person.#: ''My boss never lets me get on with my work. He's always '''breathing down my neck''' and checking up on me.''
bleed-through	# The seepage of ink from one side of a printed page to the other# The discolouration of a wood veneer due to seepage of glue# A weak imprint of magnetic information transferred to adjacent layers of audiotape, resulting in an unwanted echo.
bank switching	# en A method to increase the usable memory beyond what the processor normally supports by switching between different areas of memory at runtime.
bibcock	# An appliance allowing the provision of hose connections outside of buildings.
black mamba	# A large venomous snake found in Africa, taxonomic name ''Dendroaspis polylepis''. Despite the name, this species of snake is not black; its colour ranges widely from olive-brown, khaki or grey, sometimes to darker hues, especially when old. The inside of the mouth is black, but in spite of a recent urban legend there is no indication that that has anything to do with the name "black mamba", which is a much older usage than any such suggestion.<ref></ref>
blusterous	# Tending to bluster.## en blow|Blowing in loud and abrupt bursts.##: ##* '''1579''', Thomas Salter, ''A Mirrhor Mete for All Mothers, Matrones, and Maidens, intituled The Mirrhor of Modestie,'' London: Edward White,<sup>http://name.umdl.umich.edu/A11375.0001.001]</sup>##*:  wee see a strong and sturdie Oke to stande stiffe and immo∣uable against the '''blustrous''' blastes of fierce windes ##* '''1878''', , '','' Book 3, Chapter1,<sup>http://www.gutenberg.org/files/17500/17500-h/17500-h.htm</sup>##*: These Sunday-morning hair-cuttings were performed by Fairway; the victim sitting on a chopping-block in front of the house . Summer and winter the scene was the same, unless the wind were more than usually '''blusterous''', when the stool was shifted a few feet round the corner.##* '''1982''', , '','' New York: Viking, Chapter8,p.250,<sup>https://archive.org/details/constanceorsolit00durr</sup>##*: They had had an afternoon of '''blusterous''' tramontana, continually changing direction and force, and exploding the light snowfalls with mischievous gusts.## Accompanied by strong wind.##: ##* '''1895''', , “The Blue Room” in '','' London: John Lane, 1904, p.205,<sup>http://www.gutenberg.org/files/53250/53250-h/53250-h.htm]</sup>##*:  it seemed entirely right and fitting that the wind sang and sobbed in the poplar tops, and in the lulls of it, sudden spirts of rain spattered the already dusty roads, on that '''blusterous''' March day when Edward and I awaited, on the station platform, the arrival of the new tutor.##* '''1928''', , '''', Chapter8,<sup>https://books.google.ca/books?id=_eisCAAAQBAJ&printsec=frontcover#v=onepage&q&f=false</sup>##*: Owl nodded solemnly. ¶ “Correct me if I am wrong,” he said, “but am I right in supposing that it is a very '''Blusterous''' day outside?”## en pompous|Pompous] or arrogant, especially in one's speech; given to outbursts.##: ##* '''1663''', , '','' London, Canto 3, p.107,<sup>http://name.umdl.umich.edu/A30743.0001.001]</sup>##*: The antient ''Heroes'' were illustrious##*: For being benigne, and not '''blustrous''',##*: Against a vanquisht foe:##* '''1854''', , '','' Book 3, Chapter3,<sup>http://www.gutenberg.org/files/786/786-h/786-h.htm</sup>##*: The '''blustrous''' Bounderby crimsoned and swelled to such an extent on hearing these words, that he seemed to be, and probably was, on the brink of a fit.##* '''1914''', , ''The Price of Love'', Chapter5, Part 5,<sup>http://www.gutenberg.org/files/12912/12912-h/12912-h.htm</sup>##*: Thomas Batchgrew’s '''blusterous''' voice frankly showed acute irritation.## Characterized by strong or violent emotion; not calm, stable or orderly.##: ##*  , '','' Act III, Scene1,<sup>http://www.opensourceshakespeare.org/views/plays/play_view.php?WorkID=pericles&Scope=entire&pleasewait=1&msg=pl]</sup>##*: Now, mild may be thy life!##*: For a more '''blustrous''' birth had never babe:##*: Quiet and gentle thy conditions! for##*: Thou art the rudeliest welcome to this world##*: That ever was prince's child. Happy what follows!##* '''1906''',  (as S. G. Tallentyre), '','' London: John Murray, Chapter 4, p.98,<sup>
